Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
JATENG;Kabupaten Sragen;18.8;Low;983.641;13.8;100;38;100;11;25;953;325;838;1.373
JATENG;Kabupaten Sukoharjo;20;Medium;911.603;8.2;100;77.1;100;10;12;1.177;517;585;2.089
JATENG;Kabupaten Tegal;28;Medium;1.608.611;8.6;100;79.8;100;9;29;1.420;357;1.089;1.471
JATENG;Kabupaten Temanggung;20.5;Medium;794.403;10.2;100;80.8;100;4;26;1.384;260;527;882
JATENG;Kabupaten Wonogiri;14;Low;1.049.292;11.6;99.4;74.3;100;9;34;1.707;362;558;1.236
JATENG;Kabupaten Wonosobo;28.1;Medium;886.613;17.7;72.2;78.4;33.6;4;24;1.205;199;458;719
JATENG;Kota Magelang;13.3;Low;121.610;7.8;98.5;99.7;17.6;8;5;163;291;153;1.434
JATENG;Kota Pekalongan;20.6;Medium;308.310;7.6;99.5;94.4;77.8;9;14;364;284;278;783
JATENG;Kota Salatiga;15.2;Low;193.525;5.1;100;55.7;100;6;6;240;214;213;747
JATENG;Kota Semarang;21.3;Medium;1.656.564;4.6;100;96.5;100;32;37;1.381;2.347;876;7.134
JATENG;Kota Surakarta;20.4;Medium;522.728;9.4;100;66.5;100;19;17;590;1.050;590;4.313
JATENG;Kota Tegal;23.9;Medium;275.781;8.1;100;80.3;100;4;8;201;190;263;1.033
JATIM;Kabupaten Bangkalan;38.9;High;1.003.188;21.6;97;58.9;61.6;8;27;503;209;1.133;1.164
JATIM;Kabupaten Banyuwangi;20.1;Medium;1.622.536;8.1;100;89.6;100;12;45;2.018;602;1.189;1.286
JATIM;Kabupaten Blitar;14.5;Low;1.167.796;9.7;96.8;86.4;100;10;24;1.030;366;611;992
JATIM;Kabupaten Bojonegoro;23.9;Medium;1.255.119;13.3;99.9;86.2;99.8;16;41;1.521;418;1.024;1.431
JATIM;Kabupaten Bondowoso;37;High;782.676;14.7;83.1;71.1;64.8;6;27;779;275;683;1.118
JATIM;Kabupaten Gresik;23;Medium;1.342.628;12.4;100;68.2;100;26;34;1.450;1.065;1.141;2.313
JATIM;Kabupaten Jember;23.9;Medium;2.471.542;10.4;78.1;93.1;15.3;11;50;2.803;1.228;1.411;2.109
JATIM;Kabupaten Jombang;21.2;Medium;1.274.197;10;94.5;70.4;63.4;15;33;1.558;552;1.207;1.914
JATIM;Kabupaten Kediri;18;Low;1.587.132;11.6;95.5;82.3;77.9;20;40;1.534;645;950;1.381
